Date,Open,High,Low,Close,Adj Close,Volume,Short_MA,Long_MA,Signal,Position,Holdings,Cash,Total,Returns
2020-01-21,229.8500061035156,231.1300048828125,227.9499969482422,228.6300048828125,228.6300048828125,5840700,227.78999915489783,227.78999915489783,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-22,229.0,230.3800048828125,228.41000366210935,229.5399932861328,229.5399932861328,3164300,227.91499873570032,227.91499873570032,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-23,229.42999267578125,229.77000427246097,227.3500061035156,229.3800048828125,229.3800048828125,4750000,228.01266581217448,228.01266581217448,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-24,229.3999938964844,229.41000366210935,226.0399932861328,226.86000061035156,226.86000061035156,4022500,227.94062423706055,227.94062423706055,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-27,223.6999969482422,223.8999938964844,221.11000061035156,222.4499969482422,222.4499969482422,5454000,227.6176461612477,227.6176461612477,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-28,223.44000244140625,225.3500061035156,223.16000366210935,224.02999877929688,224.02999877929688,3609300,227.418332417806,227.418332417806,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-29,224.75,226.3999938964844,224.30999755859375,224.5,224.5,2310400,227.26473597476357,227.26473597476357,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-30,223.11000061035156,228.0800018310547,222.47999572753903,227.8800048828125,227.8800048828125,3350900,227.295499420166,227.295499420166,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-31,226.4900054931641,226.97000122070312,223.42999267578125,224.42999267578125,224.42999267578125,3948200,227.09749908447264,227.15904671805245,0,0.0,0.0,100000.0,100000.0,0.0
2020-02-03,225.47999572753903,226.32000732421875,223.0,223.47000122070312,223.47000122070312,3525000,226.96199951171872,226.9913628318093,0,0.0,0.0,100000.0,100000.0,0.0
2020-02-04,226.1499938964844,226.94000244140625,224.7899932861328,225.0800018310547,225.0800018310547,3642600,226.8664993286133,226.9082601796026,0,0.0,0.0,100000.0,100000.0,0.0
2020-02-05,226.91000366210935,228.67999267578125,226.75,228.6499938964844,228.6499938964844,3360500,227.00299911499025,226.980832417806,1,1.0,228.6499938964844,99771.35000610352,100000.0,0.0
2020-02-06,229.55999755859375,230.0800018310547,228.52999877929688,229.61000061035156,229.61000061035156,2799400,227.1839988708496,227.0859991455078,1,1.0,229.61000061035156,99771.35000610352,100000.96000671387,9.600067138570978e-06
2020-02-07,228.07000732421875,228.6199951171875,226.6699981689453,227.3800048828125,227.3800048828125,2882800,227.12049942016603,227.09730705848108,1,1.0,227.3800048828125,99771.35000610352,99998.73001098633,-2.2299743196341204e-05
2020-02-10,227.1699981689453,227.75,225.1300048828125,227.11000061035156,227.11000061035156,2944600,227.1449996948242,227.09777719003185,1,1.0,227.11000061035156,99771.35000610352,99998.46000671387,-2.700077015305169e-06
2020-02-11,228.58999633789065,228.58999633789065,227.02000427246097,227.3300018310547,227.3300018310547,2916400,227.08899993896483,227.1060709272112,0,0.0,0.0,99998.68000793457,99998.68000793457,2.2000460875304384e-06
2020-02-12,227.6000061035156,228.83999633789065,226.91000366210935,227.44000244140625,227.44000244140625,3785200,227.10250015258788,227.11758580701104,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-13,226.52999877929688,227.3999938964844,226.1000061035156,226.47000122070312,226.47000122070312,2838500,227.00849990844728,227.09599965413412,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-14,226.4900054931641,227.13999938964844,225.52000427246097,226.8000030517578,226.8000030517578,2506200,226.8620002746582,227.0864513766381,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-18,226.38999938964844,227.3800048828125,225.27000427246097,226.77000427246097,226.77000427246097,3153000,226.69050064086915,227.07656240463257,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-19,227.67999267578125,229.7100067138672,226.92999267578125,229.2400054931641,229.2400054931641,3187000,226.72100067138672,227.1421212861032,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-20,229.7599945068359,229.7899932861328,227.1499938964844,228.1699981689453,228.1699981689453,3547700,226.65250091552736,227.172352959128,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-21,227.52999877929688,230.07000732421875,226.97999572753903,229.3300018310547,229.3300018310547,4699100,226.65000076293944,227.23400006975447,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-24,221.30999755859375,223.94000244140625,220.27000427246097,221.69000244140625,221.69000244140625,7932400,226.3915008544922,227.08000013563367,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-25,222.1999969482422,223.2400054931641,216.7599945068359,218.0500030517578,218.0500030517578,8558600,226.17150115966797,226.8359461603938,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-26,219.6499938964844,220.6300048828125,215.94000244140625,216.05999755859375,216.05999755859375,6901700,225.7730010986328,226.5523685656096,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-27,212.8999938964844,214.3800048828125,207.27999877929688,207.6699981689453,207.6699981689453,10941800,224.93150100708007,226.06820522210535,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-02-28,201.9199981689453,206.44000244140625,199.67999267578125,206.33999633789065,206.33999633789065,15147200,223.854500579834,225.575,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-02,207.25,218.8000030517578,204.42999267578125,217.6300048828125,217.6300048828125,10395800,223.5145011901855,225.3812196312881,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-03,217.38999938964844,218.1499938964844,206.1999969482422,208.80999755859375,208.80999755859375,10716100,222.78150100708007,224.98666672479536,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-04,212.13999938964844,218.33999633789065,209.2599945068359,217.86000061035156,217.86000061035156,7408700,222.4205009460449,224.82093030352925,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-05,212.5500030517578,212.75,207.0099945068359,208.9600067138672,208.9600067138672,8112700,221.43600158691407,224.46045476740056,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-06,203.47999572753903,207.41000366210935,202.3500061035156,205.97999572753903,205.97999572753903,9443500,220.25450134277344,224.0497778998481,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-09,195.0,198.47999572753903,192.2599945068359,193.1300048828125,193.1300048828125,13950500,218.54200134277343,223.37760892121688,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-10,201.3500061035156,202.86000061035156,195.0500030517578,202.72999572753903,202.72999572753903,10929200,217.3230010986328,222.9382980022025,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-11,197.32000732421875,198.1300048828125,192.8699951171875,194.63999938964844,194.63999938964844,9573900,215.6885009765625,222.34875011444092,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-12,183.6000061035156,187.6699981689453,175.0,175.97000122070312,175.97000122070312,22293800,213.11500091552733,221.4022450349769,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-13,187.4499969482422,196.5,178.41000366210938,196.3999938964844,196.3999938964844,14859100,211.6115005493164,220.90220001220703,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-16,174.0,188.3800048828125,173.6199951171875,177.77000427246094,177.77000427246094,14168600,209.16000061035157,219.88980010986327,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-17,181.8800048828125,187.80999755859375,177.0,187.6000061035156,187.6000061035156,15072400,207.2015007019043,219.118200378418,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-18,177.2899932861328,181.38999938964844,167.0,172.44000244140625,172.44000244140625,16669300,204.3615005493164,218.0272003173828,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-19,170.2100067138672,176.17999267578125,166.0,174.67999267578125,174.67999267578125,12488100,201.6870002746582,217.0024002075195,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-20,176.3000030517578,177.17999267578125,167.2899932861328,170.05999755859375,170.05999755859375,15213600,198.72350006103517,215.88380004882816,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-23,165.3000030517578,166.69000244140625,159.5,162.1300048828125,162.1300048828125,16501500,195.74550018310543,214.5534002685547,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-24,170.91000366210938,179.13999938964844,169.52999877929688,178.1999969482422,178.1999969482422,14075100,193.75299987792968,213.58500030517575,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-25,180.00999450683594,189.07000732421875,175.1699981689453,180.47000122070312,180.47000122070312,13851200,191.97350006103517,212.625400390625,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-26,181.2899932861328,184.9600067138672,179.58999633789062,183.8999938964844,183.8999938964844,14131400,190.7849998474121,211.7600003051758,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-27,178.5,184.2400054931641,176.72000122070312,179.66000366210938,179.66000366210938,10259500,189.45100021362305,210.78620025634768,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-30,180.0399932861328,184.11000061035156,178.0,183.17999267578125,183.17999267578125,7672600,187.72849960327147,209.8552001953125,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-03-31,182.0500030517578,186.1699981689453,180.57000732421875,182.8300018310547,182.8300018310547,8996800,186.42949981689452,208.90780029296872,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-01,176.17999267578125,178.6699981689453,174.19000244140625,175.9499969482422,175.9499969482422,8682700,184.33399963378903,207.8542001342773,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-02,175.0,180.30999755859375,174.22999572753906,179.72999572753906,179.72999572753906,7271900,182.87249908447265,206.85800018310547,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-03,178.58999633789062,180.22000122070312,175.44000244140625,178.33999633789062,178.33999633789062,6643700,181.49049911499023,205.83720001220703,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-06,184.61000061035156,186.41000366210935,180.4900054931641,185.2400054931641,185.2400054931641,9935500,181.09599914550785,205.00480010986328,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-07,191.9900054931641,192.0,184.8999938964844,185.25,185.25,8148200,180.22199935913085,204.26080017089845,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-08,187.5500030517578,191.4199981689453,185.13999938964844,191.0099945068359,191.0099945068359,6109900,180.04049911499024,203.6004000854492,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-09,194.0,197.22999572753903,191.4499969482422,193.83999633789065,193.83999633789065,10519600,180.9339988708496,202.98720001220704,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-13,193.8500061035156,193.8500061035156,186.0800018310547,188.77000427246097,188.77000427246097,7888600,180.55249938964843,202.205,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-14,193.32000732421875,194.16000366210935,190.82000732421875,192.94000244140625,192.94000244140625,7032000,181.3109992980957,201.5752001953125,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-15,188.55999755859375,189.58999633789065,187.47000122070312,188.57000732421875,188.57000732421875,6138300,181.3594993591309,200.8772003173828,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-16,188.8999938964844,188.9900054931641,185.8000030517578,187.9600067138672,187.9600067138672,6228200,182.1354995727539,200.13480041503905,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-17,192.88999938964844,192.8999938964844,189.02000427246097,191.1999969482422,191.1999969482422,8272200,182.96149978637695,199.38580047607425,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-20,188.72000122070312,189.3500061035156,187.3000030517578,188.75,188.75,6474700,183.8959999084473,198.5686004638672,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-21,184.1699981689453,185.77999877929688,183.27999877929688,183.47999572753903,183.47999572753903,5882500,184.9634994506836,197.6906002807617,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-22,186.4600067138672,187.3699951171875,185.33999633789065,186.5800018310547,186.5800018310547,5470000,185.38249969482425,196.88000030517577,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-23,186.9900054931641,187.3500061035156,184.5,185.6300048828125,185.6300048828125,6211900,185.6404998779297,196.04600036621093,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-24,187.0800018310547,187.27999877929688,184.4199981689453,186.52000427246097,186.52000427246097,5205500,185.77150039672853,195.227600402832,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-27,187.77999877929688,189.3699951171875,186.3500061035156,187.4600067138672,187.4600067138672,6622400,186.1615005493164,194.4474005126953,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-28,190.5399932861328,191.0,187.0,187.1199951171875,187.1199951171875,6674600,186.3585006713867,193.65380035400392,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
