Date,Open,High,Low,Close,Adj Close,Volume,Short_MA,Long_MA
2020-01-02,145.8699951171875,146.02000427246094,145.0800018310547,145.97000122070312,129.055908203125,5777000,145.97000122070312,145.97000122070312
2020-01-03,143.5,145.3699951171875,143.0,144.27999877929688,127.56173706054688,5752400,145.125,145.125
2020-01-06,144.0,144.1999969482422,142.85000610351562,144.10000610351562,127.40258026123048,7731300,144.78333536783853,144.78333536783853
2020-01-07,144.00999450683594,145.4499969482422,141.3800048828125,144.97999572753906,128.18060302734375,7382900,144.83250045776367,144.83250045776367
2020-01-08,144.8699951171875,145.97999572753906,143.6999969482422,144.9600067138672,128.16293334960938,6605800,144.85800170898438,144.85800170898438
2020-01-09,145.75999450683594,146.02999877929688,144.99000549316406,145.38999938964844,128.5430908203125,6112700,144.94666798909506,144.94666798909506
2020-01-10,145.75,146.17999267578125,144.89999389648438,145.05999755859375,128.2513427734375,5042600,144.96285792759485,144.96285792759485
2020-01-13,145.47999572753906,145.7899932861328,144.72000122070312,145.6999969482422,128.8171844482422,4593200,145.05500030517578,145.05500030517578
2020-01-14,145.0500030517578,146.61000061035156,144.72999572753906,146.52000427246094,129.5421905517578,7037500,145.21777852376303,145.21777852376303
2020-01-15,146.39999389648438,147.39999389648438,146.24000549316406,147.00999450683594,129.9753875732422,4960300,145.39700012207032,145.39700012207032
2020-01-16,147.4199981689453,148.83999633789062,146.1999969482422,148.1999969482422,131.02749633789062,6476000,145.65181801535866,145.65181801535866
2020-01-17,148.41000366210938,149.41000366210938,147.92999267578125,149.1699981689453,131.88510131835938,9083600,145.94499969482422,145.94499969482422
2020-01-21,148.5800018310547,150.1699981689453,148.5,149.27000427246094,131.97354125976562,9543900,146.20076927771936,146.20076927771936
2020-01-22,146.6999969482422,149.17999267578125,146.0,148.25,131.07171630859375,10305300,146.34714290073939,146.34714290073939
2020-01-23,148.0399932861328,148.77000427246094,146.75999450683594,148.52999877929688,131.31924438476562,8671900,146.49266662597657,146.49266662597657
2020-01-24,148.5800018310547,148.9499969482422,147.92999267578125,148.32000732421875,131.13360595703125,9051900,146.6068754196167,146.6068754196167
2020-01-27,147.52000427246094,149.4600067138672,147.0,148.75,131.5137939453125,7587100,146.73294157140396,146.73294157140396
2020-01-28,148.4600067138672,150.57000732421875,148.14999389648438,149.5,132.17686462402344,7336600,146.8866670396593,146.8866670396593
2020-01-29,149.4499969482422,151.19000244140625,149.1300048828125,150.5399932861328,133.0963592529297,6288600,147.07894736842104,147.07894736842104
2020-01-30,150.02999877929688,150.50999450683594,149.0500030517578,150.36000061035156,132.93722534179688,6470600,147.24300003051758,147.24300003051758
2020-01-31,149.75,150.0,148.63999938964844,148.8699951171875,131.61984252929688,8651700,147.38799972534179,147.32047598702567
2020-02-03,149.4199981689453,150.49000549316406,149.24000549316406,150.1699981689453,132.76922607421875,5765200,147.68249969482423,147.44999972256747
2020-02-04,151.49000549316406,152.75,151.1999969482422,151.60000610351562,134.0335235595703,6541400,148.05749969482423,147.6304347826087
2020-02-05,151.72000122070312,154.02000427246094,151.30999755859375,153.99000549316406,136.14659118652344,5979900,148.50800018310548,147.8954168955485
2020-02-06,154.25,154.5,152.74000549316406,153.52999877929688,135.73988342285156,6201200,148.93649978637694,148.12080017089843
2020-02-07,153.33999633789062,153.4600067138672,151.5500030517578,151.88999938964844,134.28993225097656,5700300,149.26149978637696,148.2657693716196
